gnab,gbk,gkir,gkleak,kcabk,vmca,gCRH,gCRHpulse,gkirpulse,gkleakp,CRHkcabk,CRHvmca,kp,gnav,gca,gcaleak,gk,ga,gkca,nuc,kc,tauhna,vmna,smna,vhna,shna,amplitude,class,active_0,passive_0,active_1,passive_1,active_2,passive_2,active_3,passive_3,active_4,passive_4,ahp,v_max,v_min,v_mean,num_spikes,period_max,period_min,period_mean,upstroke_duration,downstroke_duration,inav_mean,ical_mean,icaleak_mean,ikdr_mean,ia_mean,ikca_mean,ibk_mean,ikir_mean,ikleak_mean,ins_mean,iCRH_mean,Jin_mean,jout_mean
0.05,0.6,1.3,0.1,1.5,-12.0,0.19729689512852,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.70130709804362,0.025,2.2,0.5,2.0,0.03,0.1,2.0,-15.0,5.0,-60.0,-10.0,66.34953784942627,ActivityType.Active,222.5,276.5,460.0,513.5,697.0,750.5,934.0,987.5,1171.0,1225.0,18.012405395507812,8.299004554748535,-58.050533294677734,-47.73409652709961,1.0,237.5,237.0,237.0975799560547,53.71950912475586,183.37806701660156,-0.20207136869430542,-9.125765800476074,-2.693352460861206,2.637197494506836,0.37642166018486023,4.462457180023193,2.52418851852417,11.138298988342285,2.726592779159546,-11.804482460021973,-9.417732238769531,0.017728611826896667,0.017642762511968613
0.05,0.6,1.3,0.1,1.5,-12.0,0.12541406031081,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.63656077080658,0.025,2.2,0.5,2.0,0.03,0.1,2.0,-15.0,5.0,-60.0,-10.0,0.0,ActivityType.Hyperpolarized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58.24941635131836,-58.24941635131836,-58.24941635131836,0.0,0.0,0.0,0.0,0.0,0.0,-3.2654463577586057e-09,-1.8789156675338745,-2.956235647201538,0.0003213435993529856,0.08161484450101852,0.6545062065124512,6.84174139564675e-08,12.641440391540527,1.675058364868164,-10.217766761779785,-7.305295944213867,0.007252726703882217,0.007252354174852371
0.05,0.6,1.3,0.1,1.5,-12.0,0.103349104424861,0.0,0.0,0.0,0.0,0.0,1.0,10.0,2.01657264325554,0.025,2.2,0.5,2.0,0.03,0.1,2.0,-15.0,5.0,-60.0,-10.0,0.0,ActivityType.Hyperpolarized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.25807571411133,-60.25807571411133,-60.25807571411133,0.0,0.0,0.0,0.0,0.0,0.0,-1.1024224866318377e-09,-1.9294668436050415,-3.0064518451690674,0.00018924515461549163,0.06546235084533691,0.5916394591331482,4.4333180682087914e-08,12.044979095458984,1.474192500114441,-9.240522384643555,-6.227618217468262,0.00740387849509716,0.0074035064317286015
0.05,0.6,1.3,0.1,1.5,-12.0,0.0688347197236726,0.0,0.0,0.0,0.0,0.0,1.0,10.0,2.02857855502885,0.025,2.2,0.5,2.0,0.03,0.1,2.0,-15.0,5.0,-60.0,-10.0,0.0,ActivityType.Hyperpolarized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63.50267791748047,-63.50267791748047,-63.50267791748047,0.0,0.0,0.0,0.0,0.0,0.0,-1.8668692980394752e-10,-1.444190502166748,-3.087567090988159,7.713404193054885e-05,0.042963892221450806,0.41344892978668213,6.3682970008471784e-09,10.471879005432129,1.149732232093811,-7.546322822570801,-4.371189117431641,0.006797635927796364,0.006797263864427805
0.05,0.6,1.3,0.1,1.5,-12.0,0.0983517783646239,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.56491677527607,0.025,2.2,0.5,2.0,0.03,0.1,2.0,-15.0,5.0,-60.0,-10.0,0.0,ActivityType.Hyperpolarized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.35245895385742,-61.35245895385742,-61.35245895385742,0.0,0.0,0.0,0.0,0.0,0.0,-6.074579728121421e-10,-1.3554356098175049,-3.033811569213867,0.0001407567033311352,0.05735376104712486,0.4713398218154907,9.248720900245644e-09,11.597426414489746,1.3647540807724,-9.101746559143066,-6.034123420715332,0.006583870388567448,0.006583498790860176
0.05,0.6,1.3,0.1,1.5,-12.0,0.278843388955885,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.41300658806906,0.025,2.2,0.5,2.0,0.03,0.1,2.0,-15.0,5.0,-60.0,-10.0,44.49266219139099,ActivityType.Active,12.0,95.5,170.0,253.5,328.0,411.5,486.0,569.5,644.0,727.5,9.000953674316406,-2.6965277194976807,-47.18918991088867,-39.112037658691406,1.0,158.0,158.0,158.0,83.5,74.5,-0.25525981187820435,-12.106776237487793,-2.477802276611328,1.7617624998092651,0.4000888168811798,10.196775436401367,3.1864895820617676,8.561161041259766,3.588804006576538,-12.861730575561523,-10.906103134155273,0.02187681384384632,0.021772222593426704
0.05,0.6,1.3,0.1,1.5,-12.0,0.272236643763608,0.0,0.0,0.0,0.0,0.0,1.0,10.0,2.23496964303117,0.025,2.2,0.5,2.0,0.03,0.1,2.0,-15.0,5.0,-60.0,-10.0,68.9340934753418,ActivityType.Active,185.0,229.5,408.0,452.0,630.5,674.5,853.0,897.0,1075.5,1119.5,20.53778076171875,10.573665618896484,-58.36042785644531,-46.61995315551758,1.0,223.0,222.5,222.57955932617188,44.181819915771484,178.39772033691406,-0.22464916110038757,-13.020079612731934,-2.6654977798461914,3.23336124420166,0.3987475633621216,10.516154289245605,3.001080274581909,10.918878555297852,2.838007926940918,-15.022613525390625,-12.691678047180176,0.02352827601134777,0.023547325283288956
0.05,0.6,1.3,0.1,1.5,-12.0,0.285337294272302,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.71715291944895,0.025,2.2,0.5,2.0,0.03,0.1,2.0,-15.0,5.0,-60.0,-10.0,56.97038149833679,ActivityType.Active,132.5,188.5,297.0,353.0,461.5,517.5,626.0,682.0,790.5,846.5,14.742362976074219,2.8095996379852295,-54.16078186035156,-43.30545425415039,1.0,165.0,164.5,164.57627868652344,55.906776428222656,108.66949462890625,-0.26166996359825134,-12.405143737792969,-2.582641363143921,2.6067326068878174,0.42228472232818604,10.195505142211914,3.3466780185699463,10.036025047302246,3.169473886489868,-14.521876335144043,-12.356636047363281,0.022481709718704224,0.022628139704465866
0.05,0.6,1.3,0.1,1.5,-12.0,0.314846241325218,0.0,0.0,0.0,0.0,0.0,1.0,10.0,2.26776508769467,0.025,2.2,0.5,2.0,0.03,0.1,2.0,-15.0,5.0,-60.0,-10.0,65.83734130859375,ActivityType.Active,77.0,120.5,293.0,336.5,509.0,552.5,725.0,768.5,941.5,984.5,20.039302825927734,8.586639404296875,-57.250701904296875,-45.55008316040039,1.0,216.5,216.0,216.1111297607422,43.45555114746094,172.65557861328125,-0.2196788489818573,-13.796340942382812,-2.638749122619629,2.97480845451355,0.3832465708255768,13.289578437805176,2.99092435836792,10.686596870422363,2.944974899291992,-16.618820190429688,-14.341285705566406,0.024652600288391113,0.02471325732767582
0.05,0.6,1.3,0.1,1.5,-12.0,0.318130302100714,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.59564908231046,0.025,2.2,0.5,2.0,0.03,0.1,2.0,-15.0,5.0,-60.0,-10.0,48.310277700424194,ActivityType.Active,41.0,110.0,195.0,263.5,348.5,417.0,502.0,571.0,656.0,724.5,10.334129333496094,-1.8508703708648682,-50.16114807128906,-40.573638916015625,1.0,154.0,153.5,153.69532775878906,68.62499237060547,85.0703125,-0.264990895986557,-13.052959442138672,-2.5143442153930664,1.9127275943756104,0.4077684283256531,12.41734790802002,3.4527127742767334,9.134661674499512,3.4426534175872803,-14.936327934265137,-12.907691955566406,0.02335096150636673,0.023363161832094193
