gnab,gbk,gkir,gkleak,kcabk,vmca,gCRH,gCRHpulse,gkirpulse,gkleakp,CRHkcabk,CRHvmca,kp,gnav,gca,gcaleak,gk,ga,gkca,nuc,kc,tauhna,vmna,smna,vhna,shna,amplitude,class,active_0,passive_0,active_1,passive_1,active_2,passive_2,active_3,passive_3,active_4,passive_4,ahp,v_max,v_min,v_mean,num_spikes,period_max,period_min,period_mean,upstroke_duration,downstroke_duration,inav_mean,ical_mean,icaleak_mean,ikdr_mean,ia_mean,ikca_mean,ibk_mean,ikir_mean,ikleak_mean,ins_mean,iCRH_mean,Jin_mean,jout_mean
0.05,0.6,1.2143868495925,0.1,1.5,-12.0,0.189625803797827,0.0,0.0,0.0,0.0,0.0,1.0,10.0,2.07230956580421,0.025,0.2422899071512,0.5,2.16761722807864,0.03,0.408267984775243,2.0,-15.0,5.0,-60.0,-10.0,0.00354766845703125,ActivityType.Hyperpolarized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.420223236083984,-61.423770904541016,-61.423770904541016,0.0,0.0,0.0,0.0,0.0,0.0,-5.851493733999291e-10,-1.7835880517959595,-3.0355942249298096,1.5213527149171568e-05,0.05686013400554657,7.318338394165039,2.4394628539425867e-08,10.80368423461914,1.35769784450531,-14.718719482421875,-11.647531509399414,0.007228349335491657,0.007231836672872305
0.05,0.6,1.37362654886446,0.1,1.5,-12.0,0.104643605595826,0.0,0.0,0.0,0.0,0.0,1.0,10.0,2.13136982730178,0.025,7.9535220471805,0.5,0.180952802521009,0.03,0.0523532826647603,2.0,-15.0,5.0,-60.0,-10.0,0.0,ActivityType.Hyperpolarized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.09072494506836,-60.09072494506836,-60.09072494506836,0.0,0.0,0.0,0.0,0.0,0.0,-1.2072874921997823e-09,-2.070556879043579,-3.0022683143615723,0.0007154815248213708,0.06674719601869583,0.015615472570061684,5.9773206828595e-08,12.791443824768066,1.4909275770187378,-9.292646408081055,-6.288110256195068,0.0076092383824288845,0.007609423715621233
0.05,0.6,1.20291131974698,0.1,1.5,-12.0,0.00622151472856569,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.91335182771653,0.025,9.6065885765174,0.5,1.5785250898163,0.03,1.88149012659123,2.0,-15.0,5.0,-60.0,-10.0,0.35541534423828125,ActivityType.Hyperpolarized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71.28133392333984,-71.63674926757812,-71.50143432617188,0.0,0.0,0.0,0.0,0.0,0.0,-2.0980914488405444e-12,-0.6533300876617432,-3.287768602371216,2.0623649106710218e-05,0.007635918445885181,4.0835676193237305,2.2472666089123905e-11,3.5215718746185303,0.3489360809326172,-4.020094871520996,-0.4448797404766083,0.005911842454224825,0.0035378814209252596
0.05,0.6,1.35870398842252,0.1,1.5,-12.0,0.311040150531424,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.00204244716117,0.025,15.0740294432104,0.5,2.05774394424221,0.03,0.969295401920851,2.0,-15.0,5.0,-60.0,-10.0,0.4979743957519531,ActivityType.Hyperpolarized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-62.556617736816406,-63.05459213256836,-62.889503479003906,0.0,0.0,0.0,0.0,0.0,0.0,-2.6207461201188664e-10,-0.7543414831161499,-3.0720345973968506,0.0006294675986282527,0.04684072732925415,13.963001251220703,7.338630814146541e-10,11.312463760375977,1.2108280658721924,-22.70721435546875,-19.560802459716797,0.00574048887938261,0.005357596557587385
0.05,0.6,1.39819446272971,0.1,1.5,-12.0,0.0112988969516111,0.0,0.0,0.0,0.0,0.0,1.0,10.0,2.70811776694394,0.025,9.60548751523893,0.5,3.9716687280263,0.03,0.781240751595105,2.0,-15.0,5.0,-60.0,-10.0,0.1391143798828125,ActivityType.Hyperpolarized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72.22737884521484,-72.36649322509766,-72.30087280273438,0.0,0.0,0.0,0.0,0.0,0.0,-1.3173954115097697e-12,-0.857830286026001,-3.3072493076324463,1.3424068129097577e-05,0.005501240491867065,5.148221015930176,3.892888442158515e-11,3.17826509475708,0.2675158679485321,-4.431907653808594,-0.8171018958091736,0.006249826867133379,0.005937111563980579
0.05,0.6,1.38590484080033,0.1,1.5,-12.0,0.382310836054684,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.05570751854482,0.025,15.789572948276,0.5,3.55806913543369,0.03,1.61714893030636,2.0,-15.0,5.0,-60.0,-10.0,0.8186798095703125,ActivityType.Hyperpolarized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-65.7332534790039,-66.55193328857422,-66.2519302368164,0.0,0.0,0.0,0.0,0.0,0.0,-4.080338497636227e-11,-0.5842217803001404,-3.1565749645233154,0.00024318344367202371,0.027633991092443466,22.337265014648438,1.084068251833159e-10,9.146014213562012,0.8741456270217896,-28.643787384033203,-25.33022117614746,0.005611336324363947,0.00409736717119813
0.05,0.6,1.21178503952658,0.1,1.5,-12.0,0.100933918731508,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.00133287993452,0.025,0.430506620497964,0.5,2.97099573924787,0.03,1.10905853237316,2.0,-15.0,5.0,-60.0,-10.0,0.49390411376953125,ActivityType.Hyperpolarized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.62981414794922,-70.12371826171875,-69.9477767944336,0.0,0.0,0.0,0.0,0.0,0.0,-5.071709111709177e-12,-0.39446473121643066,-3.2486648559570312,1.8223847746412503e-06,0.0123749990016222,8.695306777954102,7.214609118455506e-12,4.990794658660889,0.5041818618774414,-10.558394432067871,-7.060953617095947,0.0054666027426719666,0.0046054283156991005
0.05,0.6,1.28308030148974,0.1,1.5,-12.0,0.250009853422379,0.0,0.0,0.0,0.0,0.0,1.0,10.0,2.43340224573301,0.025,6.55270072621398,0.5,1.00660389533141,0.03,1.35529173580317,2.0,-15.0,5.0,-60.0,-10.0,0.4376029968261719,ActivityType.Hyperpolarized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.00520706176758,-61.44281005859375,-61.28689193725586,0.0,0.0,0.0,0.0,0.0,0.0,-6.2989258253765e-10,-2.11985445022583,-3.031998872756958,0.0004267434705980122,0.05780329927802086,10.637309074401855,4.718167545547658e-08,11.47324275970459,1.3709954023361206,-18.385257720947266,-15.32232666015625,0.007728254422545433,0.006814657710492611
0.05,0.6,1.24704281952871,0.1,1.5,-12.0,0.368750666401691,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.03270876614115,0.025,10.0668001285847,0.5,2.64593607836736,0.03,0.115311292252152,2.0,-15.0,5.0,-60.0,-10.0,19.870899200439453,ActivityType.Inactive,103.5,464.5,531.0,892.0,958.5,1319.5,1385.5,1746.5,1813.0,2174.0,3.9526329040527344,-19.95505142211914,-39.825950622558594,-33.38673400878906,2.0,427.5,427.0,427.36956787109375,360.89129638671875,66.47825622558594,-0.025193633511662483,-10.992060661315918,-2.3346774578094482,1.236179232597351,0.2956099808216095,15.707009315490723,0.3324526250362396,5.5927019119262695,4.161293983459473,-13.980859756469727,-12.3115234375,0.019990071654319763,0.02000373974442482
0.05,0.6,1.34033506935559,0.1,1.5,-12.0,0.374127707543828,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.67971509507193,0.025,0.507262042283156,0.5,3.50988141425129,0.03,0.992516089578291,2.0,-15.0,5.0,-60.0,-10.0,0.40897369384765625,ActivityType.Hyperpolarized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.7642822265625,-65.17325592041016,-65.03089141845703,0.0,0.0,0.0,0.0,0.0,0.0,-7.991370759574679e-11,-1.0391346216201782,-3.125913143157959,1.1337557225488126e-05,0.03397826477885246,20.950176239013672,1.2433384322108054e-09,9.769973754882812,0.9960299134254456,-27.585586547851562,-24.331928253173828,0.006247512064874172,0.005869091954082251
