gnab,gbk,gkir,gkleak,kcabk,vmca,gCRH,gCRHpulse,gkirpulse,gkleakp,CRHkcabk,CRHvmca,kp,gnav,gca,gcaleak,gk,ga,gkca,nuc,kc,tauhna,vmna,smna,vhna,shna,amplitude,class,active_0,passive_0,active_1,passive_1,active_2,passive_2,active_3,passive_3,active_4,passive_4,ahp,v_max,v_min,v_mean,num_spikes,period_max,period_min,period_mean,upstroke_duration,downstroke_duration,inav_mean,ical_mean,icaleak_mean,ikdr_mean,ia_mean,ikca_mean,ibk_mean,ikir_mean,ikleak_mean,ins_mean,iCRH_mean,Jin_mean,jout_mean
0.05,0.6,1.38983830041048,0.1,1.5,-12.0,0.349799519407622,0.0,0.0,0.0,0.0,0.0,1.0,10.0,2.99861931098073,0.025,12.9060496812851,0.5,0.350447134201815,0.03,1.808222358824,2.0,-15.0,5.0,-60.0,-10.0,72.24217510223389,ActivityType.Active,39.0,61.5,118.5,141.0,198.5,220.5,278.0,300.5,358.0,380.0,23.19887924194336,9.509345054626465,-62.73283004760742,-47.951904296875,1.0,80.5,79.5,80.10606384277344,22.287872314453125,57.818172454833984,-0.6218326091766357,-18.773290634155273,-2.6988000869750977,14.49028205871582,0.7306473851203918,9.284464836120605,3.000096082687378,11.039933204650879,2.70481014251709,-19.171113967895508,-16.773561477661133,0.032208167016506195,0.021074023097753525
0.05,0.6,1.25193727410226,0.1,1.5,-12.0,0.187593188555092,0.0,0.0,0.0,0.0,0.0,1.0,10.0,2.98366739172002,0.025,2.65517521321099,0.5,0.107889716350948,0.03,0.372015422405225,2.0,-15.0,5.0,-60.0,-10.0,0.0002944469451904297,ActivityType.Hyperpolarized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8182811737060547,-1.8185756206512451,-1.8182815313339233,0.0,0.0,0.0,0.0,0.0,0.0,-1.8503320217132568,-135.4964599609375,-1.545457124710083,79.68185424804688,0.09331599622964859,7.8917717933654785,43.892486572265625,0.4468984007835388,7.318171977996826,-0.43201127648353577,-0.3410971760749817,0.20556287467479706,0.029987139627337456
0.05,0.6,1.20717790646844,0.1,1.5,-12.0,0.142745063282494,0.0,0.0,0.0,0.0,0.0,1.0,10.0,2.63546616153793,0.025,2.58907520011663,0.5,1.33965894449651,0.03,0.0980655330931197,2.0,-15.0,5.0,-60.0,-10.0,83.49110412597656,ActivityType.Active,287.5,334.5,635.0,682.0,982.5,1029.5,1329.5,1377.0,1677.0,1724.5,23.89666748046875,20.75680160522461,-62.73430252075195,-51.452205657958984,1.0,347.5,347.0,347.4259338378906,47.24073791503906,300.1852111816406,-0.18481747806072235,-11.177313804626465,-2.7863080501556396,3.9903810024261475,0.377999484539032,4.006394386291504,2.561089515686035,10.766876220703125,2.354773998260498,-9.917165756225586,-7.344554901123047,0.020945405587553978,0.021244067698717117
0.05,0.6,1.30111232705792,0.1,1.5,-12.0,0.371861219010828,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.72235188910772,0.025,7.95615178801443,0.5,0.834944466625955,0.03,0.0515200886214196,2.0,-15.0,5.0,-60.0,-10.0,49.00077772140503,ActivityType.Active,66.0,108.5,139.0,181.0,211.5,254.0,284.5,327.0,357.0,399.5,9.79775619506836,-2.7583394050598145,-51.759117126464844,-38.839088439941406,1.0,73.5,72.5,73.24748229980469,42.590904235839844,30.65656280517578,-0.4648555815219879,-17.0389404296875,-2.470979928970337,7.5031657218933105,0.6211615204811096,11.51523494720459,4.54773473739624,8.560748100280762,3.6160852909088135,-16.384729385375977,-14.442758560180664,0.029264971613883972,0.02921413630247116
0.05,0.6,1.27952910030315,0.1,1.5,-12.0,0.205423742459704,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.49391115715941,0.025,8.7702513417935,0.5,0.0866957507564408,0.03,0.614267483898273,2.0,-15.0,5.0,-60.0,-10.0,60.08039832115173,ActivityType.Active,101.5,142.5,202.0,243.5,303.0,344.0,404.0,445.0,505.0,546.0,15.2933349609375,0.8436391353607178,-59.236759185791016,-46.244991302490234,1.0,102.0,100.5,101.43812561035156,41.1133918762207,60.324737548828125,-0.37957513332366943,-9.920531272888184,-2.656128168106079,6.502849578857422,0.5763974785804749,1.9567039012908936,2.7190301418304443,10.145413398742676,2.8755106925964355,-11.812104225158691,-9.499842643737793,0.018865033984184265,0.018230289220809937
0.05,0.6,1.38614545555383,0.1,1.5,-12.0,0.247986035075581,0.0,0.0,0.0,0.0,0.0,1.0,10.0,2.75232469976856,0.025,0.422315595891401,0.5,2.83291955623953,0.03,0.161551038376794,2.0,-15.0,5.0,-60.0,-10.0,84.52796363830566,ActivityType.Active,484.0,591.0,2565.5,2673.0,4647.5,4754.5,6729.0,6836.5,8811.0,8918.0,26.827842712402344,20.884305953979492,-63.64365768432617,-54.687557220458984,1.0,2082.0,2081.5,2081.75,107.25,1974.5,-0.06788785010576248,-8.781030654907227,-2.867192268371582,0.7649308443069458,0.15307526290416718,10.670716285705566,1.9447386264801025,12.44932746887207,2.031233787536621,-16.29616928100586,-13.561779022216797,0.017472345381975174,0.017284009605646133
0.05,0.6,1.39338457245869,0.1,1.5,-12.0,0.300255863995452,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.90846421396727,0.025,8.53183867374197,0.5,1.14155736925494,0.03,0.376819930624392,2.0,-15.0,5.0,-60.0,-10.0,0.0,ActivityType.Hyperpolarized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.94799041748047,-50.94799041748047,-50.94799041748047,0.0,0.0,0.0,0.0,0.0,0.0,-1.5536994624198996e-07,-4.222461223602295,-2.7736997604370117,0.007707122713327408,0.15003708004951477,8.87045669555664,7.806424946465995e-06,13.407605171203613,2.405200958251953,-17.844833374023438,-15.297432899475098,0.010494241490960121,0.010491371154785156
0.05,0.6,1.37264006929845,0.1,1.5,-12.0,0.378679864027654,0.0,0.0,0.0,0.0,0.0,1.0,10.0,2.10373437820853,0.025,15.5530680580211,0.5,1.04753936513589,0.03,0.116506227147353,2.0,-15.0,5.0,-60.0,-10.0,56.38743877410889,ActivityType.Active,65.5,99.5,150.5,184.5,235.5,269.5,320.0,354.0,405.0,439.0,15.783283233642578,-1.763993263244629,-58.151432037353516,-44.69621658325195,1.0,85.0,84.5,84.9646224975586,34.01515197753906,50.949493408203125,-0.3858072757720947,-14.659249305725098,-2.617403745651245,8.521322250366211,0.5558595061302185,11.262749671936035,2.9005236625671387,10.575301170349121,3.0303728580474854,-19.16033935546875,-16.925575256347656,0.025915037840604782,0.025996167212724686
0.05,0.6,1.28900097556929,0.1,1.5,-12.0,0.168764381057439,0.0,0.0,0.0,0.0,0.0,1.0,10.0,2.67000665173207,0.025,14.2633600868375,0.5,3.80895183565678,0.03,0.0541602835945125,2.0,-15.0,5.0,-60.0,-10.0,77.03128051757812,ActivityType.Active,149.0,171.5,283.5,306.0,418.0,440.0,552.0,574.5,686.5,709.0,26.515457153320312,10.3087158203125,-66.72256469726562,-53.41412353515625,1.0,134.5,134.0,134.36985778808594,22.356163024902344,112.01368713378906,-0.39266470074653625,-10.587090492248535,-2.8353641033172607,7.842313289642334,0.45625874400138855,2.898247241973877,1.5674712657928467,10.585312843322754,2.1585774421691895,-11.685089111328125,-9.01441478729248,0.020133579149842262,0.020055444911122322
0.05,0.6,1.24354949025174,0.1,1.5,-12.0,0.371778134736463,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.33459261828452,0.025,3.20184015102256,0.5,0.725995086785723,0.03,0.172807873130615,2.0,-15.0,5.0,-60.0,-10.0,35.861087799072266,ActivityType.Active,1315.5,2381.5,3373.5,4440.0,5432.0,6498.5,7490.0,8556.5,9548.5,0.0,13.451671600341797,-14.794689178466797,-50.65577697753906,-35.76464080810547,12.0,2058.5,2058.0,2058.25,1066.375,991.875,-0.07631520181894302,-15.489376068115234,-2.3941166400909424,0.9097313284873962,0.229208305478096,18.806352615356445,2.267991781234741,6.906919956207275,3.9235377311706543,-15.084731101989746,-13.296488761901855,0.02682522125542164,0.027349336072802544
