gnab,gbk,gkir,gkleak,kcabk,vmca,gCRH,gCRHpulse,gkirpulse,gkleakp,CRHkcabk,CRHvmca,kp,gnav,gca,gcaleak,gk,ga,gkca,nuc,kc,tauhna,vmna,smna,vhna,shna,amplitude,class,active_0,passive_0,active_1,passive_1,active_2,passive_2,active_3,passive_3,active_4,passive_4,ahp,v_max,v_min,v_mean,num_spikes,period_max,period_min,period_mean,upstroke_duration,downstroke_duration,inav_mean,ical_mean,icaleak_mean,ikdr_mean,ia_mean,ikca_mean,ibk_mean,ikir_mean,ikleak_mean,ins_mean,iCRH_mean,Jin_mean,jout_mean
0.05,0.6,1.20983635860513,0.1,1.5,-12.0,0.38128266925061,0.0,0.0,0.0,0.0,0.0,1.0,10.0,2.23127344433382,0.025,8.18624872078612,0.5,0.292984487308851,0.03,0.821846503004075,2.0,-15.0,5.0,-60.0,-10.0,60.78641605377197,ActivityType.Active,59.0,91.5,120.5,153.0,182.0,214.5,243.5,276.0,305.0,337.5,13.252635955810547,4.663811683654785,-56.12260437011719,-40.633811950683594,1.0,243.0,61.5,61.74747085571289,32.33333969116211,29.414142608642578,-0.6899473071098328,-21.729969024658203,-2.5158464908599854,14.774200439453125,0.8537623286247253,9.755171775817871,5.1333909034729,8.509766578674316,3.436617851257324,-17.524673461914062,-15.492971420288086,0.03636879101395607,0.026424488052725792
0.05,0.6,1.34140565050002,0.1,1.5,-12.0,0.279125046614084,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.56284956195465,0.025,6.91707356239777,0.5,3.97752881160424,0.03,0.0752395840030922,2.0,-15.0,5.0,-60.0,-10.0,53.90401268005371,ActivityType.Active,124.0,172.0,248.0,296.0,372.0,420.5,496.5,544.5,620.5,669.0,14.094486236572266,-2.3866138458251953,-56.290626525878906,-44.52019119262695,1.0,318.0,124.0,124.19620513916016,48.19620132446289,76.0,-0.2807324230670929,-10.55870246887207,-2.6130080223083496,3.8249242305755615,0.45051950216293335,7.674623489379883,2.644564390182495,10.47010326385498,3.0479867458343506,-14.652682304382324,-12.426712036132812,0.019757505506277084,0.019702894613146782
0.05,0.6,1.22374397880745,0.1,1.5,-12.0,0.190402741215633,0.0,0.0,0.0,0.0,0.0,1.0,10.0,2.64191544124057,0.025,9.90191488791116,0.5,0.307342627174808,0.03,0.355836795578809,2.0,-15.0,5.0,-60.0,-10.0,76.31039619445801,ActivityType.Active,37.0,61.5,173.0,198.0,309.5,334.0,445.5,470.5,582.0,607.0,26.002666473388672,11.176492691040039,-65.13390350341797,-51.36494064331055,1.0,54.5,136.0,137.67361450195312,24.895830154418945,112.77777862548828,-0.3692021667957306,-12.028639793395996,-2.784111261367798,7.563181400299072,0.4736190140247345,4.985487461090088,1.9770021438598633,10.171850204467773,2.36350417137146,-12.348262786865234,-9.780024528503418,0.022219229489564896,0.022045962512493134
0.05,0.6,1.26020667690171,0.1,1.5,-12.0,0.351394096996566,0.0,0.0,0.0,0.0,0.0,1.0,10.0,2.69011142551287,0.025,1.98350363131147,0.5,2.82606221429932,0.03,0.148971061426882,2.0,-15.0,5.0,-60.0,-10.0,68.98878383636475,ActivityType.Active,123.0,163.5,653.0,693.5,1183.0,1224.0,1713.0,1754.0,2243.0,2284.0,22.98474884033203,10.5645170211792,-58.42426681518555,-48.726226806640625,1.0,129.5,530.0,530.0277709960938,40.6944465637207,489.3333435058594,-0.09558065980672836,-10.652522087097168,-2.718161106109619,1.355512261390686,0.24344535171985626,16.111948013305664,1.418095588684082,11.269256591796875,2.627361297607422,-19.558486938476562,-17.122159957885742,0.020056013017892838,0.02001865580677986
0.05,0.6,1.27802120651782,0.1,1.5,-12.0,0.237374792025534,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.52319097481423,0.025,11.0200325930551,0.5,0.152211746221008,0.03,1.78090398164693,2.0,-15.0,5.0,-60.0,-10.0,56.182108759880066,ActivityType.Active,107.0,150.0,209.5,252.5,312.0,354.5,414.5,457.0,516.5,559.5,14.405895233154297,-1.983918309211731,-58.1660270690918,-45.57289505004883,1.0,204.5,102.0,103.557861328125,42.710514068603516,60.84735870361328,-0.3301091194152832,-10.051090240478516,-2.6393227577209473,5.828885555267334,0.5163665413856506,4.239470958709717,2.525867462158203,10.07015609741211,2.9427125453948975,-13.096487998962402,-10.817851066589355,0.01903568021953106,0.014245966449379921
0.05,0.6,1.30134649782145,0.1,1.5,-12.0,0.395151254632467,0.0,0.0,0.0,0.0,0.0,1.0,10.0,2.90834536177492,0.025,15.7540304689502,0.5,0.295442739148242,0.03,0.583365217052833,2.0,-15.0,5.0,-60.0,-10.0,68.75019693374634,ActivityType.Active,15.5,37.5,77.0,99.5,139.0,161.5,201.0,223.5,263.0,285.0,20.212093353271484,7.4213738441467285,-61.32882308959961,-46.05592727661133,1.0,279.5,61.5,62.171722412109375,22.287878036499023,39.88382339477539,-0.7749829292297363,-21.03569793701172,-2.651395082473755,19.498130798339844,0.8566662073135376,8.178730964660645,3.489262819290161,10.035355567932129,2.8944101333618164,-20.501834869384766,-18.19905662536621,0.0355306938290596,0.027354666963219643
0.05,0.6,1.31464404146518,0.1,1.5,-12.0,0.379064165749412,0.0,0.0,0.0,0.0,0.0,1.0,10.0,2.45655508136361,0.025,8.62736348496694,0.5,3.73942559842863,0.03,0.0937573330106195,2.0,-15.0,5.0,-60.0,-10.0,61.06151366233826,ActivityType.Active,138.5,169.5,320.5,351.0,502.0,533.0,683.5,714.5,865.5,896.0,22.429344177246094,1.589566946029663,-59.471946716308594,-46.704429626464844,1.0,354.5,181.5,181.68521118164062,30.777780532836914,150.9073944091797,-0.19822117686271667,-12.671034812927246,-2.667619228363037,3.63875150680542,0.327100545167923,16.166921615600586,1.7750670909881592,10.837841033935547,2.8295469284057617,-20.03921127319336,-17.703941345214844,0.023007923737168312,0.02301916666328907
0.05,0.6,1.39491740128901,0.1,1.5,-12.0,0.24854383402903,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.37681866770786,0.025,14.2752643713822,0.5,1.19708405408906,0.03,0.09362502729229,2.0,-15.0,5.0,-60.0,-10.0,53.498531341552734,ActivityType.Active,96.0,141.5,189.5,235.5,283.5,329.0,377.0,423.0,471.0,516.5,11.743045806884766,-4.064441680908203,-57.56297302246094,-45.22086715698242,1.0,1.0,93.5,93.74747467041016,45.61615753173828,48.13132095336914,-0.33229655027389526,-9.275994300842285,-2.630523443222046,6.253417015075684,0.5427774786949158,2.6552860736846924,2.4123246669769287,10.896822929382324,2.9779109954833984,-13.500442504882812,-11.23937702178955,0.017859704792499542,0.017861275002360344
0.05,0.6,1.29694009209683,0.1,1.5,-12.0,0.174234605518336,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.38968187067423,0.025,14.7692564766204,0.5,0.0329437860729731,0.03,0.488107206914715,2.0,-15.0,5.0,-60.0,-10.0,59.26917028427124,ActivityType.Active,81.5,121.5,204.0,243.5,326.0,366.0,448.5,488.0,570.5,610.5,17.032245635986328,-2.0555176734924316,-61.32468795776367,-49.17277145385742,1.0,1.0,122.0,122.43211364746094,39.88272476196289,82.54936981201172,-0.2750893831253052,-7.136490821838379,-2.729323387145996,5.176231384277344,0.44171759486198425,0.501350998878479,1.7136104106903076,10.740382194519043,2.5827152729034424,-11.026244163513184,-8.56762409210205,0.014798729680478573,0.014728057198226452
0.05,0.6,1.26834922676442,0.1,1.5,-12.0,0.399063455620936,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.13101021259899,0.025,10.8116583880036,0.5,3.76510986583027,0.03,0.0815189481175876,2.0,-15.0,5.0,-60.0,-10.0,17.687469482421875,ActivityType.Inactive,57.0,177.5,223.5,344.0,390.0,510.0,556.0,676.5,722.5,842.5,3.5378684997558594,-20.431903839111328,-38.1193733215332,-32.59001159667969,1.0,1.0,166.0,166.27964782714844,120.37288665771484,45.90678024291992,-0.027136385440826416,-12.699347496032715,-2.3147506713867188,1.4491379261016846,0.30379927158355713,17.81078338623047,0.4763444662094116,5.395137786865234,4.241021156311035,-14.634979248046875,-13.005472183227539,0.022521154955029488,0.02253912203013897
0.05,0.6,1.39998725524459,0.1,1.5,-12.0,0.373145309288125,0.0,0.0,0.0,0.0,0.0,1.0,10.0,2.04139391337362,0.025,10.3770880504641,0.5,1.16120791398386,0.03,0.363927711484633,2.0,-15.0,5.0,-60.0,-10.0,0.0,ActivityType.Hyperpolarized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.414859771728516,-46.414859771728516,-46.414859771728516,0.0,76.0,0.0,0.0,0.0,0.0,-1.6088494021460065e-06,-6.739439964294434,-2.6603715419769287,0.02758234366774559,0.19439725577831268,14.047816276550293,0.00012364865688141435,11.911601066589355,2.8585140705108643,-19.640230178833008,-17.319486618041992,0.014099718071520329,0.014096737839281559
0.05,0.6,1.20151423970089,0.1,1.5,-12.0,0.360993383340014,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.72268368970752,0.025,2.32759770473905,0.5,2.83042918730798,0.03,0.177768008927184,2.0,-15.0,5.0,-60.0,-10.0,39.63182067871094,ActivityType.Active,430.0,514.5,1066.0,1150.5,1701.5,1786.0,2337.0,2421.5,2973.0,3057.5,14.466796875,-11.330768585205078,-50.962589263916016,-44.74380111694336,1.0,74.5,635.5,635.6666870117188,84.5,551.1666870117188,-0.03595275059342384,-7.909840106964111,-2.618595838546753,0.13994191586971283,0.22517316043376923,15.304471015930176,0.669275164604187,9.569015502929688,3.0256268978118896,-18.389360427856445,-16.15214729309082,0.015792569145560265,0.015734601765871048
0.05,0.6,1.29025110548579,0.1,1.5,-12.0,0.38733874693931,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.56165922774042,0.025,1.22920701814123,0.5,1.20888036480283,0.03,0.199531508888017,2.0,-15.0,5.0,-60.0,-10.0,41.45746898651123,ActivityType.Active,352.0,742.0,1460.5,1850.0,2568.5,2958.5,3677.0,4067.0,4785.5,5175.5,14.689590454101562,-10.863175392150879,-52.32064437866211,-40.848392486572266,8.0,75.36363983154297,1108.0,1108.375,389.8749694824219,718.5,-0.06738327443599701,-12.676701545715332,-2.5212061405181885,0.23976266384124756,0.22270828485488892,18.311813354492188,2.0573532581329346,8.882804870605469,3.415158748626709,-17.864566802978516,-15.822154998779297,0.022796843200922012,0.022827791050076485
0.05,0.6,1.25031389439583,0.1,1.5,-12.0,0.22482295283234,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.69016903591107,0.025,7.88938286352597,0.5,0.0368281193753146,0.03,0.445489217329165,2.0,-15.0,5.0,-60.0,-10.0,63.60399007797241,ActivityType.Active,13.0,49.0,88.5,124.5,164.0,200.0,239.5,275.5,315.0,351.0,14.24350357055664,4.603169918060303,-59.00082015991211,-44.3718147277832,1.0,37.0,75.5,75.60099029541016,36.39899444580078,39.2020149230957,-0.5790261030197144,-13.571229934692383,-2.6092913150787354,10.842906951904297,0.8135995864868164,0.909456193447113,3.836566925048828,9.482595443725586,3.062824010848999,-12.194358825683594,-9.975775718688965,0.024270782247185707,0.023115837946534157
0.05,0.6,1.39920913367362,0.1,1.5,-12.0,0.257352378602531,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.45656940574322,0.025,7.43614679633748,0.5,0.297947077606432,0.03,1.88654674773883,2.0,-15.0,5.0,-60.0,-10.0,0.6170692443847656,ActivityType.Hyperpolarized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.82647705078125,-53.443546295166016,-53.217491149902344,0.0,36.5,0.0,0.0,0.0,0.0,-4.7550464898904465e-08,-2.631303071975708,-2.830137252807617,0.0038660650607198477,0.12768656015396118,5.62531852722168,8.214107083404087e-07,13.883370399475098,2.1780519485473633,-16.355937957763672,-13.695640563964844,0.008192931301891804,0.006820204202085733
