class,maxV,minV,width,minVbp,threshold
1,33.24598372,-53.59548221,0.942,-50.66357283,-47.32073321
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,40.22371199,-54.27964851,1.068,-54.27964851,-47.46319477
0,0,0,0,0,0
1,37.99284182,-53.72076486,0.963,-53.72076486,-47.44404363
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,38.15815266,-53.40302968,1.002,-53.40302968,-47.39049129
0,0,0,0,0,0
0,0,0,0,0,0
1,39.95256113,-53.91482064,1.092,-53.91482064,-47.45825392
1,41.06735387,-54.82021597,1.098,-54.82021597,-47.469668
0,0,0,0,0,0
0,0,0,0,0,0
1,36.45491252,-52.99333295,0.939,-52.99333295,-47.36793049
0,0,0,0,0,0
1,37.9507379,-53.39865223,0.981,-53.39865223,-47.43712711
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,33.41319336,-48.6953525,1.062,-48.6953525,-47.45107346
0,0,0,0,0,0
0,0,0,0,0,0
1,36.93108034,-52.81283261,0.972,-52.81283261,-47.37693348
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,20.93690425,-66.77697001,0.855,-45.95231223,-45.95231223
0,0,0,0,0,0
1,34.71491176,-52.00036643,0.945,-51.53072057,-47.29619001
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,36.73255022,-52.33281578,0.993,-52.33281578,-47.34780983
0,0,0,0,0,0
1,42.46573092,-56.21010522,1.122,-56.21010522,-47.64215777
1,27.79424907,-56.48360063,0.933,-47.60642889,-47.40583733
0,0,0,0,0,0
0,0,0,0,0,0
1,32.53342677,-49.19309006,0.987,-49.19309006,-47.3933239
0,0,0,0,0,0
1,31.86969177,-52.17737821,0.951,-49.5098438,-47.32181865
1,36.72475076,-51.85926444,1.02,-51.85926444,-47.3353462
0,0,0,0,0,0
1,38.06851202,-52.63115573,1.047,-52.63115573,-47.37963044
1,36.29098669,-51.94641633,0.984,-51.94641633,-47.35783407
0,0,0,0,0,0
1,37.28243358,-53.34525217,0.954,-53.34525217,-47.38576322
1,14.49122015,-64.89414293,0.894,-42.70999459,-42.70999459
1,38.46035468,-53.99569613,0.975,-53.99569613,-47.48057461
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,30.01725029,-64.45164336,0.855,-50.13780244,-47.26873527
1,26.9562836,-62.19864684,0.885,-48.04557454,-47.30859784
0,0,0,0,0,0
0,0,0,0,0,0
1,42.33962055,-55.93855036,1.146,-55.93855036,-47.62583411
0,0,0,0,0,0
1,39.44724291,-54.481441,1.014,-54.481441,-47.47881988
0,0,0,0,0,0
0,0,0,0,0,0
