class,maxV,minV,width,minVbp,threshold
1,32.5254010482809,-62.1510297035939,0.882,-51.3637086198918,-47.2618256663352
1,30.3651037866727,-58.6846966851953,0.903,-49.4416040889716,-47.3074490420833
1,34.4170514076208,-50.6900157518381,0.978,-50.6900157518381,-47.3359844035195
1,40.9251429474691,-55.3654600693143,1.053,-55.3654600693143,-47.5413717283406
1,40.9332163419425,-54.7436707066236,1.11,-54.7436707066236,-47.4574962119052
0,0,0,0,0,0
1,32.0966360024861,-65.1924214281705,0.852,-51.441082658179,-47.2207856770864
1,29.5640519486425,-63.0751109510328,0.867,-49.6479596580436,-47.2593710476848
1,33.3713787614126,-57.3829406130158,0.906,-51.2534690811147,-47.3250659652267
1,41.9226296271817,-55.9675818928803,1.098,-55.9675818928803,-47.6223630047128
0,0,0,0,0,0
1,35.0889720188036,-51.375968685997,0.966,-51.375968685997,-47.320520830215
0,0,0,0,0,0
1,38.9201719604934,-52.837136319767,1.092,-52.837136319767,-47.4130286396303
1,37.7446471911127,-51.8978611171845,1.074,-51.8978611171845,-47.4054204942025
0,0,0,0,0,0
1,41.8269358189377,-55.7017885681618,1.11,-55.7017885681618,-47.5710709406157
0,0,0,0,0,0
1,39.7381472867776,-53.7119410929331,1.089,-53.7119410929331,-47.4138009522492
1,41.1018761341382,-55.1532841765677,1.071,-55.1532841765677,-47.4856244090985
