class,maxV,minV,width,minVbp,threshold
1,43.3528883039889,-54.4600555379647,1.209,-54.4600555379647,-47.4487988576295
1,43.3646343944494,-54.4635415388328,1.23,-54.4635415388328,-47.380110361946
1,43.3526059908783,-54.4454462296607,1.203,-54.4454462296607,-47.426745010741
1,43.3313904141007,-54.4712607542487,1.221,-54.4712607542487,-47.4523876233996
1,43.4226437460914,-54.4799346534568,1.221,-54.4799346534568,-47.4377718194501
1,43.2967761123923,-54.4592265088773,1.212,-54.4592265088773,-47.455006557685
1,43.2820545139879,-54.4840265618268,1.209,-54.4840265618268,-47.4001750859918
1,43.4839369746162,-54.4444642130866,1.236,-54.4444642130866,-47.4182515759877
1,43.4443950695313,-54.4496066229848,1.224,-54.4496066229848,-47.3804477021403
1,43.4703677402185,-54.4705798290685,1.221,-54.4705798290685,-47.3706899338089
1,43.4462577050454,-54.462259961595,1.224,-54.462259961595,-47.436818311548
1,43.3527581531122,-54.4726619200006,1.203,-54.4726619200006,-47.3864955316652
1,43.3284455357144,-54.4461094739466,1.224,-54.4461094739466,-47.4317171166864
1,43.4337549279455,-54.4599753825216,1.203,-54.4599753825216,-47.3591939894061
1,43.4237201996312,-54.4680326493257,1.245,-54.4680326493257,-47.3898947678301
1,43.4075508307799,-54.4474025869678,1.236,-54.4474025869678,-47.4560482741834
1,43.347253842504,-54.4613223832209,1.224,-54.4613223832209,-47.3964762244334
1,43.3690135763319,-54.4287389658584,1.221,-54.4287389658584,-47.4479547157383
1,43.3444835763035,-54.46640697967,1.206,-54.46640697967,-47.3961671648441
1,43.2377226181035,-54.4596327066806,1.209,-54.4596327066806,-47.4421689283945
1,43.3412339687078,-54.459176756744,1.23,-54.459176756744,-47.3941711649184
1,43.2543008297474,-54.4402393986121,1.218,-54.4402393986121,-47.3878231589096
1,43.3418449696574,-54.4906081139524,1.215,-54.4906081139524,-47.4272979042843
1,43.4450291505628,-54.4630972594537,1.242,-54.4630972594537,-47.4600761425744
1,43.2727233539423,-54.4711207144324,1.215,-54.4711207144324,-47.4473039565576
1,43.5102356883715,-54.4641649797759,1.215,-54.4641649797759,-47.4524921015733
1,43.1980318132123,-54.473638019955,1.242,-54.473638019955,-47.4276066440731
1,43.2392971201778,-54.4566700125428,1.236,-54.4566700125428,-47.4125714545078
1,43.3703524244854,-54.428450203768,1.227,-54.428450203768,-47.4478047966899
1,43.3266549439401,-54.4806690024387,1.224,-54.4806690024387,-47.4428476970072
